step,m,k,n,moves,pebbles,size_compact,size_unrolled,time_compact,time_unrolled,overhead_per_move,peak_compact,peak_unrolled,output_ok,time_exact
step_fib.srl,2,1,2,3,2,39,9,82,9,24.333,13,5,True,True
step_fib.srl,2,2,4,9,3,61,27,277,27,27.778,19,7,True,True
step_fib.srl,2,3,8,27,4,83,81,862,81,28.926,25,9,True,True
step_fib.srl,2,4,16,81,5,105,243,2617,243,29.309,31,11,True,True
step_fib.srl,2,5,32,243,6,127,729,7882,729,29.436,37,13,True,True
step_fib.srl,2,6,64,729,7,149,2187,23677,2187,29.479,43,15,True,True
step_fib.srl,2,7,128,2187,8,171,6561,71062,6561,29.493,49,17,True,True
step_fib.srl,2,8,256,6561,9,193,19683,213217,19683,29.498,55,19,True,True
step_fib.srl,2,9,512,19683,10,215,59049,639682,59049,29.499,61,21,True,True
step_fib.srl,2,10,1024,59049,11,237,177147,1919077,177147,29.5,67,23,True,True
step_fib.srl,4,1,4,7,4,39,21,178,21,22.429,17,9,True,True
step_fib.srl,4,2,16,49,7,61,147,1305,147,23.633,27,15,True,True
step_fib.srl,4,3,64,343,10,83,1029,9194,1029,23.805,37,21,True,True
step_fib.srl,4,4,256,2401,13,105,7203,64417,7203,23.829,47,27,True,True
step_fib.srl,4,5,1024,16807,16,127,50421,450978,50421,23.833,57,33,True,True
step_lcg.srl,2,1,2,3,2,31,3,64,3,20.333,10,3,True,True
step_lcg.srl,2,2,4,9,3,53,9,229,9,24.444,15,4,True,True
step_lcg.srl,2,3,8,27,4,75,27,724,27,25.815,20,5,True,True
step_lcg.srl,2,4,16,81,5,97,81,2209,81,26.272,25,6,True,True
step_lcg.srl,2,5,32,243,6,119,243,6664,243,26.424,30,7,True,True
step_lcg.srl,2,6,64,729,7,141,729,20029,729,26.475,35,8,True,True
step_lcg.srl,2,7,128,2187,8,163,2187,60124,2187,26.492,40,9,True,True
step_lcg.srl,2,8,256,6561,9,185,6561,180409,6561,26.497,45,10,True,True
step_lcg.srl,2,9,512,19683,10,207,19683,541264,19683,26.499,50,11,True,True
step_lcg.srl,2,10,1024,59049,11,229,59049,1623829,59049,26.5,55,12,True,True
step_lcg.srl,4,1,4,7,4,31,7,140,7,19.0,12,5,True,True
step_lcg.srl,4,2,16,49,7,53,49,1057,49,20.571,19,8,True,True
step_lcg.srl,4,3,64,343,10,75,343,7476,343,20.796,26,11,True,True
step_lcg.srl,4,4,256,2401,13,97,2401,52409,2401,20.828,33,14,True,True
step_lcg.srl,4,5,1024,16807,16,119,16807,366940,16807,20.833,40,17,True,True
step_tri.srl,2,1,2,3,2,37,21,79,18,20.333,10,3,True,True
step_tri.srl,2,2,4,9,3,59,63,286,66,24.444,17,6,True,True
step_tri.srl,2,3,8,27,4,81,189,979,282,25.815,22,7,True,True
step_tri.srl,2,4,16,81,5,103,567,2986,858,26.272,27,8,True,True
step_tri.srl,2,5,32,243,6,125,1701,9595,3174,26.424,32,9,True,True
step_tri.srl,2,6,64,729,7,147,5103,30022,10722,26.475,37,10,True,True
step_tri.srl,2,7,128,2187,8,169,15309,92503,34566,26.492,42,11,True,True
step_tri.srl,2,8,256,6561,9,191,45927,282346,108498,26.497,47,12,True,True
step_tri.srl,2,9,512,19683,10,213,137781,856675,335094,26.499,52,13,True,True
step_tri.srl,2,10,1024,59049,11,235,413343,2589262,1024482,26.5,57,14,True,True
step_tri.srl,4,1,4,7,4,37,49,187,54,19.0,14,7,True,True
step_tri.srl,4,2,16,49,7,59,343,1602,594,20.571,21,10,True,True
step_tri.srl,4,3,64,343,10,81,2401,12731,5598,20.796,28,13,True,True
step_tri.srl,4,4,256,2401,13,103,16807,92074,42066,20.828,35,16,True,True
step_tri.srl,4,5,1024,16807,16,125,117649,650355,300222,20.833,42,19,True,True
