n,schedule,family,step,moves,pebbles,state_size,temps,time,time_pred,baseline_time,time_ratio,peak_space,declared_space,space_pred,output_ok
16,linear,linear,step_fib.srl,31,16,2,0,93,93,48,1.9375,33,34,34,True
16,linear,linear,step_lcg.srl,31,16,1,0,31,31,16,1.9375,17,17,17,True
16,linear,linear,step_tri.srl,31,16,1,2,390,390,204,1.9118,19,19,19,True
16,"bennett(k=4,m=2)",bennett,step_fib.srl,81,5,2,0,243,243,48,5.0625,11,12,12,True
16,"bennett(k=4,m=2)",bennett,step_lcg.srl,81,5,1,0,81,81,16,5.0625,6,6,6,True
16,"bennett(k=4,m=2)",bennett,step_tri.srl,81,5,1,2,858,858,204,4.2059,8,8,8,True
16,"bennett(k=2,m=4)",bennett,step_fib.srl,49,7,2,0,147,147,48,3.0625,15,16,16,True
16,"bennett(k=2,m=4)",bennett,step_lcg.srl,49,7,1,0,49,49,16,3.0625,8,8,8,True
16,"bennett(k=2,m=4)",bennett,step_tri.srl,49,7,1,2,594,594,204,2.9118,10,10,10,True
16,optimal(s=5),optimal,step_fib.srl,71,5,2,0,213,213,48,4.4375,11,12,12,True
16,optimal(s=5),optimal,step_lcg.srl,71,5,1,0,71,71,16,4.4375,6,6,6,True
16,optimal(s=5),optimal,step_tri.srl,71,5,1,2,798,798,204,3.9118,8,8,8,True
16,optimal(s=6),optimal,step_fib.srl,51,6,2,0,153,153,48,3.1875,13,14,14,True
16,optimal(s=6),optimal,step_lcg.srl,51,6,1,0,51,51,16,3.1875,7,7,7,True
16,optimal(s=6),optimal,step_tri.srl,51,6,1,2,606,606,204,2.9706,9,9,9,True
16,optimal(s=7),optimal,step_fib.srl,49,7,2,0,147,147,48,3.0625,15,16,16,True
16,optimal(s=7),optimal,step_lcg.srl,49,7,1,0,49,49,16,3.0625,8,8,8,True
16,optimal(s=7),optimal,step_tri.srl,49,7,1,2,594,594,204,2.9118,10,10,10,True
16,optimal(s=8),optimal,step_fib.srl,47,8,2,0,141,141,48,2.9375,17,18,18,True
16,optimal(s=8),optimal,step_lcg.srl,47,8,1,0,47,47,16,2.9375,9,9,9,True
16,optimal(s=8),optimal,step_tri.srl,47,8,1,2,582,582,204,2.8529,11,11,11,True
16,optimal(s=9),optimal,step_fib.srl,45,9,2,0,135,135,48,2.8125,19,20,20,True
16,optimal(s=9),optimal,step_lcg.srl,45,9,1,0,45,45,16,2.8125,10,10,10,True
16,optimal(s=9),optimal,step_tri.srl,45,9,1,2,570,570,204,2.7941,12,12,12,True
16,optimal(s=10),optimal,step_fib.srl,43,10,2,0,129,129,48,2.6875,21,22,22,True
16,optimal(s=10),optimal,step_lcg.srl,43,10,1,0,43,43,16,2.6875,11,11,11,True
16,optimal(s=10),optimal,step_tri.srl,43,10,1,2,534,534,204,2.6176,13,13,13,True
16,optimal(s=11),optimal,step_fib.srl,41,11,2,0,123,123,48,2.5625,23,24,24,True
16,optimal(s=11),optimal,step_lcg.srl,41,11,1,0,41,41,16,2.5625,12,12,12,True
16,optimal(s=11),optimal,step_tri.srl,41,11,1,2,498,498,204,2.4412,14,14,14,True
16,optimal(s=12),optimal,step_fib.srl,39,12,2,0,117,117,48,2.4375,25,26,26,True
16,optimal(s=12),optimal,step_lcg.srl,39,12,1,0,39,39,16,2.4375,13,13,13,True
16,optimal(s=12),optimal,step_tri.srl,39,12,1,2,462,462,204,2.2647,15,15,15,True
16,optimal(s=13),optimal,step_fib.srl,37,13,2,0,111,111,48,2.3125,27,28,28,True
16,optimal(s=13),optimal,step_lcg.srl,37,13,1,0,37,37,16,2.3125,14,14,14,True
16,optimal(s=13),optimal,step_tri.srl,37,13,1,2,450,450,204,2.2059,16,16,16,True
