path,family,class,total_steps,fwd_steps,time_ratio,transient_peak,log2_T,k_space,k_time,n_uncalls,call_depth_max
avl/avl_insert.j,avl,A1,691,691,1.0,4,9.433,0.424,0.0,0,7
bfs/bfs.j,bfs,A1,206,206,1.0,2,7.687,0.26,0.0,0,1
bsort/code/bsort1.j,bsort,A1,91,91,1.0,2,6.508,0.307,0.0,0,1
bsort/code/bsort1_online.j,bsort,A1,118,118,1.0,3,6.883,0.436,0.0,0,1
bsort/code/bsort4.j,bsort,A1,71,71,1.0,2,6.15,0.325,0.0,0,1
bsort/code/bsort5.j,bsort,A1,68,68,1.0,2,6.087,0.329,0.0,0,1
bsort/code/bsort_dijkstra79_A2.j,bsort,A1,62,62,1.0,3,5.954,0.504,0.0,0,1
bsort/examples/bsort_inversiontable.j,bsort,A1,65,65,1.0,3,6.022,0.498,0.0,0,1
bsort/examples/bsort_inversiontable_r2l.j,bsort,A1,156,156,1.0,3,7.285,0.412,0.0,0,1
csort/csort1.j,csort,A1,67,67,1.0,1,6.066,0.165,0.0,0,1
depth_search/dsearch_matrix.j,depth_search,A1,136,136,1.0,3,7.087,0.423,0.0,0,4
dynarray/dynarray.j,dynarray,A1,62,62,1.0,1,5.954,0.168,0.0,0,1
hsort/hsort2.j,hsort,A1,396,396,1.0,10,8.629,1.159,0.0,0,6
inc_code/inc_decfac.j,inc_code,A1,31,31,1.0,2,4.954,0.404,0.0,0,1
inc_code/inc_perm.j,inc_code,A1,42,42,1.0,3,5.392,0.556,0.0,0,2
isort/code/isort1_old.j,isort,A1,47,47,1.0,2,5.555,0.36,0.0,0,1
isort/code/isort2.j,isort,A1,82,82,1.0,2,6.358,0.315,0.0,0,1
isort/code/isort3.j,isort,A1,43,43,1.0,2,5.426,0.369,0.0,0,1
isort/code/isort4_old.j,isort,A1,78,78,1.0,2,6.285,0.318,0.0,0,1
isort/code/isort_dijkstra79_A1.j,isort,A1,49,49,1.0,3,5.615,0.534,0.0,0,1
isort/isort5.j,isort,A1,75,75,1.0,4,6.229,0.642,0.0,0,1
isort/isort7.j,isort,A1,127,127,1.0,4,6.989,0.572,0.0,0,1
isort/isort8.j,isort,A1,53,53,1.0,3,5.728,0.524,0.0,0,1
isort/isort_hall.j,isort,A1,86,86,1.0,4,6.426,0.622,0.0,0,1
linear_search/Lsearch3.j,linear_search,A1,25,25,1.0,1,4.644,0.215,0.0,0,1
msort/code/msort.j,msort,A1,335,335,1.0,10,8.388,1.192,0.0,0,5
msort/msort2.j,msort,A1,505,505,1.0,10,8.98,1.114,0.0,0,4
numeric/ext_gcd.j,numeric,A1,46,46,1.0,2,5.524,0.362,0.0,0,1
numeric/gcd.j,numeric,A1,16,16,1.0,0,4.0,0.0,0.0,0,1
numeric/modexp.j,numeric,A1,67,67,1.0,3,6.066,0.495,0.0,0,1
others/code/factorial.j,others,A1,20,20,1.0,2,4.322,0.463,0.0,0,1
others/examples/buildTree.j,others,A1,87,87,1.0,3,6.443,0.466,0.0,0,1
others/examples/combination.j,others,A1,21,21,1.0,2,4.392,0.455,0.0,0,1
others/examples/counting_sort.j,others,A1,67,67,1.0,1,6.066,0.165,0.0,0,1
others/examples/factorization.j,others,A1,231,231,1.0,3,7.852,0.382,0.0,0,2
others/examples/genParentheses.j,others,A1,202,202,1.0,7,7.658,0.914,0.0,0,7
others/examples/genSuc.j,others,A1,64,64,1.0,3,6.0,0.5,0.0,0,1
others/stackPermut.j,others,A1,752,752,1.0,6,9.555,0.628,0.0,0,9
perm/code/perm2decfac_nolex.j,perm,A1,105,105,1.0,3,6.714,0.447,0.0,0,2
perm/code/perm2rank.j,perm,A1,28,28,1.0,3,4.807,0.624,0.0,0,5
perm/code/perm2rank2.j,perm,A1,102,102,1.0,5,6.672,0.749,0.0,0,5
perm/perm.j,perm,A1,18,18,1.0,2,4.17,0.48,0.0,0,1
perm/perm2.j,perm,A1,15,15,1.0,2,3.907,0.512,0.0,0,1
perm/perm2invtab1.j,perm,A1,10,10,1.0,0,3.322,0.0,0.0,0,0
scc/kosaraju.j,scc,A1,311,311,1.0,4,8.281,0.483,0.0,0,6
string_search/Force_str_search1-a.j,string_search,A1,43,43,1.0,1,5.426,0.184,0.0,0,1
string_search/Force_str_search1-b.j,string_search,A1,40,40,1.0,0,5.322,0.0,0.0,0,1
string_search/Force_str_search1-c.j,string_search,A1,40,40,1.0,2,5.322,0.376,0.0,0,1
string_search/Force_str_search2-a.j,string_search,A1,35,35,1.0,1,5.129,0.195,0.0,0,1
string_search/Force_str_search2-b.j,string_search,A1,31,31,1.0,0,4.954,0.0,0.0,0,1
string_search/Force_str_search2-c.j,string_search,A1,38,38,1.0,1,5.248,0.191,0.0,0,1
