corpus,path,family,dialect_used,status,error,total_steps,fwd_steps,uncall_steps,time_ratio,max_live_vars,max_live_bits,live_init,live_final,transient_peak,log2_T,k_space,k_time,call_depth_max,local_var_max,n_calls,n_uncalls,peak_step,peak_fraction,wall_seconds,catalog_status
janus-examples,kato131219_comp/131219/examples/call-array.j2,kato,jana2014,ok,,2,2,0,1.0,0,0,0,0,0,1.0,0.0,0.0,1,0,1,0,0,0.0,0.001,
janus-examples,kato131219_comp/131219/examples/call-stack.j2,kato,jana2014,ok,,2,2,0,1.0,0,0,0,0,0,1.0,0.0,0.0,1,0,1,0,0,0.0,0.001,
janus-examples,kato131219_comp/131219/examples/comment-multipleline.j2,kato,jana2014,ok,,1,1,0,1.0,0,0,0,0,0,0.0,,0.0,0,0,0,0,0,0.0,0.001,
janus-examples,kato131219_comp/131219/examples/comment.j2,kato,jana2014,ok,,1,1,0,1.0,0,0,0,0,0,0.0,,0.0,0,0,0,0,0,0.0,0.001,
janus-examples,kato131219_comp/131219/examples/if-then.j2,kato,jana2014,ok,,2,2,0,1.0,1,1,0,1,0,1.0,0.0,0.0,0,0,0,0,1,0.5,0.001,
janus-examples,kato131219_comp/131219/examples/if-thenelse.j2,kato,jana2014,ok,,2,2,0,1.0,1,1,0,1,0,1.0,0.0,0.0,0,0,0,0,1,0.5,0.001,
janus-examples,kato131219_comp/131219/examples/loop-do.j2,kato,jana2014,ok,,2,2,0,1.0,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.001,
janus-examples,kato131219_comp/131219/examples/loop.j2,kato,jana2014,ok,,1,1,0,1.0,0,0,0,0,0,0.0,,0.0,0,0,0,0,0,0.0,0.0,
janus-examples,kato131219_comp/131219/examples/modminus.j2,kato,jana2014,ok,,1,1,0,1.0,1,2,0,1,0,0.0,,0.0,0,0,0,0,1,1.0,0.0,
janus-examples,kato131219_comp/131219/examples/reminder.j2,kato,jana2014,ok,,1,1,0,1.0,1,1,0,1,0,0.0,,0.0,0,0,0,0,1,1.0,0.0,
janus-examples,kato131219_comp/131219/examples/show-array.j2,kato,jana2014,ok,,1,1,0,1.0,0,0,0,0,0,0.0,,0.0,0,0,0,0,0,0.0,0.0,
