program,inputs,T_orig,S_orig,T_bennett,S_bennett,T_pred,S_pred,T_pred_klevel_k1,S_pred_klevel_k1,time_ratio,space_ratio,status,error
bennett_rif.srl,1 5 7,2,3,14,7,9,7,4,4.000,7.000,2.333,ok,
bennett_rif.srl,1 10 20,2,3,14,7,9,7,4,4.000,7.000,2.333,ok,
bennett_rif.srl,0 20 40,2,2,14,5,9,6,4,3.000,7.000,2.500,ok,
bennett_rif.srl,1 40 80,2,3,14,7,9,7,4,4.000,7.000,2.333,ok,
bennett_rif.srl,0 80 160,2,2,14,5,9,6,4,3.000,7.000,2.500,ok,
branch_copy.srl,5 1,2,3,14,7,9,7,4,4.000,7.000,2.333,ok,
branch_copy.srl,10 1,2,3,14,7,9,7,4,4.000,7.000,2.333,ok,
branch_copy.srl,20 0,1,1,12,3,7,5,2,1.000,12.000,3.000,ok,
branch_copy.srl,40 1,2,3,14,7,9,7,4,4.000,7.000,2.333,ok,
branch_copy.srl,80 0,1,1,12,3,7,5,2,1.000,12.000,3.000,ok,
copy.srl,5,1,2,11,5,6,5,2,2.000,11.000,2.500,ok,
copy.srl,10,1,2,11,5,6,5,2,2.000,11.000,2.500,ok,
copy.srl,20,1,2,11,5,6,5,2,2.000,11.000,2.500,ok,
copy.srl,40,1,2,11,5,6,5,2,2.000,11.000,2.500,ok,
copy.srl,80,1,2,11,5,6,5,2,2.000,11.000,2.500,ok,
countdown_clean.srl,5,23,2,54,4,49,4,46,6.524,2.348,2.000,ok,
countdown_clean.srl,10,43,2,94,4,89,4,86,7.426,2.186,2.000,ok,
countdown_clean.srl,20,83,2,174,4,169,4,166,8.375,2.096,2.000,ok,
countdown_clean.srl,40,163,2,334,4,329,4,326,9.349,2.049,2.000,ok,
fib_bennett.srl,5,54,5,117,8,112,8,108,10.755,2.167,1.600,ok,
fib_bennett.srl,10,94,5,197,8,192,8,188,11.555,2.096,1.600,ok,
fib_bennett.srl,15,134,5,277,8,272,8,268,12.066,2.067,1.600,ok,
fib_bennett.srl,20,174,5,357,8,352,8,348,12.443,2.052,1.600,ok,
self_interp.srl,1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 5 7 11 13 17 19 23 29 31,,,,,,,,,,,error,ValueError: invalid interface declaration: code[30]_copy
self_interp.srl,1 1 2 3 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 5 7 11 13 17 19 23 29 31,,,,,,,,,,,error,ValueError: invalid interface declaration: code[30]_copy
self_interp.srl,1 1 2 3 2 3 2 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 5 7 11 13 17 19 23 29 31,,,,,,,,,,,error,ValueError: invalid interface declaration: code[30]_copy
self_interp.srl,1 1 2 3 2 3 2 3 4 1 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 5 7 11 13 17 19 23 29 31,,,,,,,,,,,error,ValueError: invalid interface declaration: code[30]_copy
self_interp.srl,1 1 2 3 2 3 2 3 4 1 4 5 3 5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 3 5 7 11 13 17 19 23 29 31,,,,,,,,,,,error,ValueError: invalid interface declaration: code[30]_copy
stack_demo.srl,1 2,4,2,17,5,12,5,8,4.000,4.250,2.500,ok,
stack_demo.srl,5 10,4,2,17,5,12,5,8,4.000,4.250,2.500,ok,
stack_demo.srl,20 40,4,2,17,5,12,5,8,4.000,4.250,2.500,ok,
stack_demo.srl,40 80,4,2,17,5,12,5,8,4.000,4.250,2.500,ok,
stack_demo.srl,100 200,4,2,17,5,12,5,8,4.000,4.250,2.500,ok,
