program,size_param,size_value,status,error,total_steps,fwd_steps,uncall_steps,time_ratio,max_live_vars,max_live_bits,live_init,live_final,transient_peak,log2_T,k_space,k_time,call_depth_max,local_var_max,n_calls,n_uncalls,peak_step,peak_fraction,wall_seconds
numeric/gcd.j,fib_index_k,6,ok,,24,24,0,1.0,3,8,0,3,0,4.585,0.0,0.0,1,1,1,0,4,0.1667,0.004
numeric/gcd.j,fib_index_k,9,ok,,36,36,0,1.0,3,12,0,3,0,5.17,0.0,0.0,1,1,1,0,4,0.1111,0.002
numeric/gcd.j,fib_index_k,12,ok,,48,48,0,1.0,3,16,0,3,0,5.585,0.0,0.0,1,1,1,0,4,0.0833,0.002
numeric/gcd.j,fib_index_k,15,ok,,60,60,0,1.0,3,20,0,3,0,5.907,0.0,0.0,1,1,1,0,4,0.0667,0.002
numeric/gcd.j,fib_index_k,18,ok,,72,72,0,1.0,3,25,0,3,0,6.17,0.0,0.0,1,1,1,0,4,0.0556,0.003
numeric/gcd.j,fib_index_k,21,ok,,84,84,0,1.0,3,29,0,3,0,6.392,0.0,0.0,1,1,1,0,4,0.0476,0.003
others/code/factorial.j,n,5,ok,,20,20,0,1.0,4,18,0,2,2,4.322,0.463,0.0,1,2,1,0,4,0.2,0.001
others/code/factorial.j,n,10,ok,,35,35,0,1.0,4,49,0,2,2,5.129,0.39,0.0,1,2,1,0,4,0.1143,0.002
others/code/factorial.j,n,20,ok,,65,65,0,1.0,4,129,0,2,2,6.022,0.332,0.0,1,2,1,0,4,0.0615,0.003
others/code/factorial.j,n,40,ok,,125,125,0,1.0,4,326,0,2,2,6.966,0.287,0.0,1,2,1,0,4,0.032,0.004
others/code/factorial.j,n,80,ok,,245,245,0,1.0,4,798,0,2,2,7.937,0.252,0.0,1,2,1,0,4,0.0163,0.006
others/code/factorial.j,n,160,ok,,485,485,0,1.0,4,1901,0,2,2,8.922,0.224,0.0,1,2,1,0,4,0.0082,0.009
others/examples/fact.j,n,2,ok,,31,18,13,1.7222,3,4,0,2,1,4.954,0.202,0.784,3,2,4,3,15,0.4839,0.004
others/examples/fact.j,n,4,ok,,139,32,107,4.3438,5,12,0,2,3,7.119,0.421,2.119,5,4,16,15,84,0.6043,0.006
others/examples/fact.j,n,6,ok,,571,46,525,12.413,7,29,0,2,5,9.157,0.546,3.634,7,6,64,63,369,0.6462,0.015
others/examples/fact.j,n,8,ok,,2299,60,2239,38.3167,9,58,0,2,7,11.167,0.627,5.26,9,8,256,255,1518,0.6603,0.058
others/examples/fact.j,n,10,ok,,9211,74,9137,124.473,11,99,0,2,9,13.169,0.683,6.96,11,10,1024,1023,6123,0.6647,0.31
others/examples/fact.j,n,12,ok,,36859,88,36771,418.8523,13,154,0,2,11,15.17,0.725,8.71,13,12,4096,4095,24552,0.6661,0.993
dp/lcs.j,n,3,ok,,55,55,0,1.0,7,26,0,5,2,5.781,0.346,0.0,1,2,1,0,39,0.7091,0.005
dp/lcs.j,n,5,ok,,124,124,0,1.0,7,45,0,5,2,6.954,0.288,0.0,1,2,1,0,25,0.2016,0.009
dp/lcs.j,n,8,ok,,285,285,0,1.0,7,160,0,5,2,8.155,0.245,0.0,1,2,1,0,27,0.0947,0.02
dp/lcs.j,n,12,ok,,607,607,0,1.0,7,353,0,5,2,9.246,0.216,0.0,1,2,1,0,35,0.0577,0.045
dp/lcs.j,n,16,ok,,1024,1024,0,1.0,7,768,0,5,2,10.0,0.2,0.0,1,2,1,0,39,0.0381,0.085
dp/lcs.j,n,24,ok,,2290,2290,0,1.0,7,1864,0,5,2,11.161,0.179,0.0,1,2,1,0,51,0.0223,0.271
dp/knapsack.j,n_items,2,ok,,53,53,0,1.0,7,32,0,5,2,5.728,0.349,0.0,1,2,1,0,10,0.1887,0.006
dp/knapsack.j,n_items,4,ok,,162,162,0,1.0,7,157,0,5,2,7.34,0.272,0.0,1,2,1,0,14,0.0864,0.014
dp/knapsack.j,n_items,6,ok,,326,326,0,1.0,7,295,0,5,2,8.349,0.24,0.0,1,2,1,0,30,0.092,0.043
dp/knapsack.j,n_items,8,ok,,558,558,0,1.0,7,650,0,5,2,9.124,0.219,0.0,1,2,1,0,37,0.0663,0.044
dp/knapsack.j,n_items,12,ok,,1183,1183,0,1.0,7,1682,0,5,2,10.208,0.196,0.0,1,2,1,0,54,0.0456,0.116
