path,family,dialect_used,total_steps,fwd_steps,time_ratio,n_calls,n_uncalls,call_depth_max,sem_uncompute_steps_loose,time_ratio_sem_loose,n_partial,sem_uncompute_steps,sem_fwd_steps,time_ratio_sem,k_time_sem,n_paired,n_paired_same_dir,n_paired_calls,n_unpaired_uncalls,class_syntactic,class_semantic,class_semantic_loose
apsp/apsp.j,apsp,jana2014,1926,1117,1.7243,67,32,4,841,1.7751,24,224,1702,1.1316,0.178,8,0,0,0,C,B,C
avl/avl_delete.j,avl,jana2014,810,805,1.0062,137,1,7,12,1.015,1,6,804,1.0075,0.011,1,0,0,0,B,B,B
avl/avl_insert.j,avl,jana2014,691,691,1.0,119,0,7,0,1.0,0,0,691,1.0,0.0,0,0,0,0,A1,A1,A1
avl/avl_search.j,avl,jana2014,61,44,1.3864,4,2,2,19,1.4524,0,19,42,1.4524,0.538,2,0,0,0,B,B,B
bellman_ford/bellman_ford.j,bellman_ford,jana2014,327,327,1.0,1,0,1,0,1.0,0,0,327,1.0,0.0,0,0,0,0,A2,A2,A2
bfs/bfs.j,bfs,jana2014,206,206,1.0,1,0,1,0,1.0,0,0,206,1.0,0.0,0,0,0,0,A1,A1,A1
bsort/bsort2.j,bsort,jana2014,247,131,1.8855,1,1,1,117,1.9,1,0,247,1.0,0.0,0,0,0,0,C,A1,C
bsort/code/bsort1.j,bsort,jana2014,91,91,1.0,1,0,1,0,1.0,0,0,91,1.0,0.0,0,0,0,0,A1,A1,A1
bsort/code/bsort1_online.j,bsort,jana2014,118,118,1.0,1,0,1,0,1.0,0,0,118,1.0,0.0,0,0,0,0,A1,A1,A1
bsort/code/bsort2.j,bsort,jana2014,199,109,1.8257,3,1,2,91,1.8426,1,0,199,1.0,0.0,0,0,0,0,C,A1,C
bsort/code/bsort3.j,bsort,jana2014,199,109,1.8257,3,1,2,91,1.8426,1,0,199,1.0,0.0,0,0,0,0,C,A1,C
bsort/code/bsort4.j,bsort,jana2014,71,71,1.0,1,0,1,0,1.0,0,0,71,1.0,0.0,0,0,0,0,A1,A1,A1
bsort/code/bsort5.j,bsort,jana2014,68,68,1.0,1,0,1,0,1.0,0,0,68,1.0,0.0,0,0,0,0,A1,A1,A1
bsort/code/bsort_dijkstra79_A2.j,bsort,jana2014,62,62,1.0,1,0,1,0,1.0,0,0,62,1.0,0.0,0,0,0,0,A1,A1,A1
bsort/examples/bsort_inversiontable.j,bsort,jana2014,65,65,1.0,1,0,1,0,1.0,0,0,65,1.0,0.0,0,0,0,0,A1,A1,A1
bsort/examples/bsort_inversiontable_r2l.j,bsort,jana2014,156,156,1.0,1,0,1,0,1.0,0,0,156,1.0,0.0,0,0,0,0,A1,A1,A1
csort/csort1.j,csort,jana2014,67,67,1.0,1,0,1,0,1.0,0,0,67,1.0,0.0,0,0,0,0,A1,A1,A1
depth_search/dsearch_matrix.j,depth_search,jana2014,136,136,1.0,5,0,4,0,1.0,0,0,136,1.0,0.0,0,0,0,0,A1,A1,A1
dijkstra/dijkstra.j,dijkstra,jana2014,451,327,1.3792,11,5,3,129,1.4006,0,129,322,1.4006,0.486,5,0,0,0,B,B,B
dp/edit_distance.j,dp,jana2014,285,285,1.0,1,0,1,0,1.0,0,0,285,1.0,0.0,0,0,0,0,A2,A2,A2
